ZONA;RED;CIUDAD;AGENCIA;TIPO;MES;CUATRIMESTRE;ACTITUD;DESTREZAS DE SERVICIOS;IMAGEN Y ORDEN;CLIENTE FANTASMA;LEALTAD_ESFUERZO;LEALTAD_RECOMENDACIÓN;LEALTAD_RECOMPRA;LEALTAD_SATISFACCIÓN;ENCUESTA DE LEALTAD;INDICE CALIDAD DE SERVICIO;column.Auxiliar
ZONA 1;RED AGENCIAS;AMBATO;AMBATO;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;4,76%;80,95%;95,24%;66,67%;81,0%;90,5%;1
ZONA 1;RED AGENCIAS;AMBATO;MULTIPLAZA AKI;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;95,24%;95,24%;90,48%;93,7%;96,8%;1
ZONA 1;RED AGENCIAS;ESMERALDAS;ESMERALDAS;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;85,00%;100,00%;70,00%;85,0%;92,5%;1
ZONA 1;RED AGENCIAS;IBARRA;IBARRA;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;100,00%;100,00%;90,00%;96,7%;98,3%;1
ZONA 1;RED AGENCIAS;LATACUNGA;LATACUNGA;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;90,00%;95,00%;75,00%;86,7%;93,3%;1
ZONA 2;RED AGENCIAS;QUEVEDO;QUEVEDO;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;5,00%;70,00%;100,00%;65,00%;78,3%;89,2%;1
ZONA 1;RED AGENCIAS;QUITO;ATAHUALPA;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;95,00%;100,00%;75,00%;90,0%;95,0%;1
ZONA 1;RED AGENCIAS;QUITO;CENTRUM EL BOSQUE;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;90,00%;95,00%;70,00%;85,0%;92,5%;1
ZONA 1;RED AGENCIAS;QUITO;CALDERON;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;95,45%;100,00%;72,73%;89,4%;94,7%;1
ZONA 1;RED AGENCIAS;QUITO;CARAPUNGO;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;95,00%;100,00%;90,00%;95,0%;97,5%;1
ZONA 1;RED AGENCIAS;QUITO;CARCELEN;AGENCIA;oct-22;C3;83,3%;100,0%;100,0%;90,0%;0,00%;65,00%;100,00%;65,00%;76,7%;83,3%;1
ZONA 1;RED AGENCIAS;CAYAMBE;CAYAMBE;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;85,00%;100,00%;75,00%;86,7%;93,3%;1
ZONA 1;RED AGENCIAS;QUITO;CHILLOGALLO;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;90,00%;100,00%;80,00%;90,0%;95,0%;1
ZONA 1;RED AGENCIAS;QUITO;CUMBAYA;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;85,00%;100,00%;85,00%;90,0%;95,0%;1
ZONA 1;RED AGENCIAS;QUITO;FUNDACION VISTA PARA TODOS;EXPRESS;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;95,00%;100,00%;100,00%;98,3%;99,2%;1
ZONA 1;RED AGENCIAS;QUITO;GUAMANI;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;5,00%;80,00%;95,00%;65,00%;80,0%;90,0%;1
ZONA 1;RED AGENCIAS;QUITO;LA COMPAÑIA;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;90,48%;100,00%;76,19%;88,9%;94,4%;1
ZONA 1;RED AGENCIAS;QUITO;LABRADOR;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;85,00%;90,00%;90,00%;88,3%;94,2%;1
ZONA 1;RED AGENCIAS;QUITO;MALDONADO;AGENCIA;oct-22;C3;83,3%;100,0%;100,0%;90,0%;0,00%;90,00%;100,00%;95,00%;95,0%;92,5%;1
ZONA 1;RED AGENCIAS;QUITO;MOLINEROS;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;75,00%;100,00%;80,00%;85,0%;92,5%;1
ZONA 1;RED AGENCIAS;QUITO;PANAMERICANA;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;80,00%;100,00%;65,00%;81,7%;90,8%;1
ZONA 1;RED AGENCIAS;QUITO;PATRIA;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;85,00%;100,00%;80,00%;88,3%;94,2%;1
ZONA 1;RED AGENCIAS;QUITO;PLAZA ALEGRIA;AGENCIA;oct-22;C3;71,4%;100,0%;100,0%;82,9%;0,00%;70,00%;100,00%;40,00%;70,0%;76,4%;1
ZONA 1;RED AGENCIAS;QUITO;PRENSA;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;90,00%;100,00%;80,00%;90,0%;95,0%;1
ZONA 1;RED AGENCIAS;QUITO;REINA VICTORIA;AGENCIA;oct-22;C3;85,7%;100,0%;100,0%;91,4%;0,00%;80,00%;100,00%;80,00%;86,7%;89,0%;1
ZONA 1;RED AGENCIAS;QUITO;AXXIS;EXPRESS;oct-22;C3;100,0%;100,0%;100,0%;100,0%;5,00%;85,00%;95,00%;90,00%;90,0%;95,0%;1
ZONA 1;RED AGENCIAS;QUITO;SANGOLQUI;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;90,00%;100,00%;85,00%;91,7%;95,8%;1
ZONA 1;RED AGENCIAS;QUITO;SOLANDA;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;100,00%;100,00%;85,71%;95,2%;97,6%;1
ZONA 1;RED AGENCIAS;QUITO;TUMBACO;AGENCIA;oct-22;C3;85,7%;100,0%;100,0%;91,4%;0,00%;90,00%;100,00%;90,00%;93,3%;92,4%;1
ZONA 1;RED AGENCIAS;RIOBAMBA;RIOBAMBA;AGENCIA;oct-22;C3;71,4%;100,0%;100,0%;82,9%;0,00%;85,00%;100,00%;90,00%;91,7%;87,3%;1
ZONA 1;RED AGENCIAS;SANTO DOMINGO;SANTO DOMINGO;AGENCIA;oct-22;C3;85,7%;100,0%;100,0%;91,4%;0,00%;90,00%;100,00%;85,00%;91,7%;91,5%;1
ZONA 1;RED AGENCIAS;SANTO DOMINGO;SERVIP EXPRESS AKI SANTO DOMINGO;EXPRESS;oct-22;C3;83,3%;100,0%;100,0%;90,0%;0,00%;100,00%;100,00%;90,00%;96,7%;93,3%;1
ZONA 2;RED AGENCIAS;CUENCA;CUENCA;AGENCIA;oct-22;C3;83,3%;100,0%;100,0%;90,0%;5,00%;80,00%;95,00%;70,00%;81,7%;85,8%;1
ZONA 2;RED AGENCIAS;CUENCA;TOTORACOCHA EXPRESS;EXPRESS;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;85,71%;95,24%;80,95%;87,3%;93,7%;1
ZONA 2;RED AGENCIAS;GUAYAQUIL;25 DE JULIO;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;100,00%;100,00%;70,00%;90,0%;95,0%;1
ZONA 2;RED AGENCIAS;GUAYAQUIL;EL FORTIN;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;5,00%;90,00%;100,00%;60,00%;83,3%;91,7%;1
ZONA 2;RED AGENCIAS;GUAYAQUIL;GRAN AKI DURÁN;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;95,00%;95,00%;80,00%;90,0%;95,0%;1
ZONA 2;RED AGENCIAS;GUAYAQUIL;LA LIBERTAD;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;85,00%;100,00%;65,00%;83,3%;91,7%;1
ZONA 2;RED AGENCIAS;GUAYAQUIL;LOS RIOS;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;95,00%;100,00%;95,00%;96,7%;98,3%;1
ZONA 2;RED AGENCIAS;GUAYAQUIL;POLICENTRO;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;85,71%;100,00%;90,48%;92,1%;96,0%;1
ZONA 2;RED AGENCIAS;GUAYAQUIL;SAN EDUARDO;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;100,00%;100,00%;85,00%;95,0%;97,5%;1
ZONA 2;RED AGENCIAS;GUAYAQUIL;SAN FRANCISCO;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;90,48%;95,24%;90,48%;92,1%;96,0%;1
ZONA 2;RED AGENCIAS;GUAYAQUIL;SUPER AKI SAUCES;EXPRESS;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;80,00%;100,00%;85,00%;88,3%;94,2%;1
ZONA 2;RED AGENCIAS;LOJA;LOJA;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;85,00%;100,00%;85,00%;90,0%;95,0%;1
ZONA 2;RED AGENCIAS;MACHALA;MACHALA;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;100,00%;95,00%;95,00%;96,7%;98,3%;1
ZONA 2;RED AGENCIAS;MANTA;SERVIP EXPRESS JAPON MANTA;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;94,12%;100,00%;94,12%;96,1%;98,0%;1
ZONA 1;RED AGENCIAS;QUITO;PORTAL SHOPPING;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;100,00%;100,00%;80,00%;93,3%;96,7%;1
ZONA 1;RED AGENCIAS;QUITO;MULTIPLAZA LOS CHILLOS;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;95,00%;100,00%;90,00%;95,0%;97,5%;1
ZONA 1;RED AGENCIAS;QUITO;QUITUMBE;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;95,00%;95,00%;90,00%;93,3%;96,7%;1
ZONA 1;RED AGENCIAS;QUITO;PUERTAS DEL SOL;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;70,00%;100,00%;60,00%;76,7%;88,3%;1
ZONA 1;RED AGENCIAS;QUITO;SERVP EXPRESS UNIVERSIDAD CENTRAL;AGENCIA;oct-22;C3;100,0%;100,0%;100,0%;100,0%;;;;;;100,0%;0,5
ZONA 1;RED AGENCIAS;AMBATO;AMBATO;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;85,00%;95,00%;65,00%;81,7%;90,8%;1
ZONA 1;RED AGENCIAS;AMBATO;MULTIPLAZA AKI;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;100,00%;95,00%;70,00%;88,3%;94,2%;1
ZONA 1;RED AGENCIAS;ESMERALDAS;ESMERALDAS;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;95,00%;100,00%;75,00%;90,0%;95,0%;1
ZONA 1;RED AGENCIAS;IBARRA;IBARRA;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;85,00%;100,00%;75,00%;86,7%;93,3%;1
ZONA 1;RED AGENCIAS;LATACUNGA;LATACUNGA;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;15,00%;95,00%;95,00%;80,00%;90,0%;95,0%;1
ZONA 2;RED AGENCIAS;QUEVEDO;QUEVEDO;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;95,00%;100,00%;85,00%;93,3%;96,7%;1
ZONA 1;RED AGENCIAS;QUITO;ATAHUALPA;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;70,00%;100,00%;60,00%;76,7%;88,3%;1
ZONA 1;RED AGENCIAS;QUITO;CENTRUM EL BOSQUE;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;5,00%;100,00%;100,00%;95,00%;98,3%;99,2%;1
ZONA 1;RED AGENCIAS;QUITO;CALDERON;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;85,00%;100,00%;75,00%;86,7%;93,3%;1
ZONA 1;RED AGENCIAS;QUITO;CARAPUNGO;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;95,00%;100,00%;95,00%;96,7%;98,3%;1
ZONA 1;RED AGENCIAS;QUITO;CARCELEN;AGENCIA;nov-22;C3;83,3%;100,0%;100,0%;90,0%;0,00%;100,00%;100,00%;75,00%;91,7%;90,8%;1
ZONA 1;RED AGENCIAS;CAYAMBE;CAYAMBE;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;90,00%;100,00%;70,00%;86,7%;93,3%;1
ZONA 1;RED AGENCIAS;QUITO;CHILLOGALLO;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;90,00%;100,00%;65,00%;85,0%;92,5%;1
ZONA 1;RED AGENCIAS;QUITO;CUMBAYA;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;85,00%;95,00%;70,00%;83,3%;91,7%;1
ZONA 1;RED AGENCIAS;QUITO;FUNDACION VISTA PARA TODOS;EXPRESS;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;95,00%;100,00%;90,00%;95,0%;97,5%;1
ZONA 1;RED AGENCIAS;QUITO;GUAMANI;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;85,00%;100,00%;65,00%;83,3%;91,7%;1
ZONA 1;RED AGENCIAS;QUITO;LA COMPAÑIA;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;10,00%;70,00%;90,00%;55,00%;71,7%;85,8%;1
ZONA 1;RED AGENCIAS;QUITO;LABRADOR;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;95,00%;100,00%;80,00%;91,7%;95,8%;1
ZONA 1;RED AGENCIAS;QUITO;MALDONADO;AGENCIA;nov-22;C3;83,3%;100,0%;100,0%;90,0%;0,00%;75,00%;100,00%;60,00%;78,3%;84,2%;1
ZONA 1;RED AGENCIAS;QUITO;MOLINEROS;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;85,00%;95,00%;75,00%;85,0%;92,5%;1
ZONA 1;RED AGENCIAS;QUITO;PANAMERICANA;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;80,00%;95,00%;75,00%;83,3%;91,7%;1
ZONA 1;RED AGENCIAS;QUITO;PATRIA;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;85,00%;100,00%;70,00%;85,0%;92,5%;1
ZONA 1;RED AGENCIAS;QUITO;PLAZA ALEGRIA;AGENCIA;nov-22;C3;71,4%;100,0%;100,0%;82,9%;0,00%;85,00%;100,00%;70,00%;85,0%;83,9%;1
ZONA 1;RED AGENCIAS;QUITO;PRENSA;AGENCIA;nov-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;75,00%;100,00%;80,00%;85,0%;92,5%;1
ZONA 1;RED AGENCIAS;QUITO;REINA VICTORIA;AGENCIA;nov-22;C3;85,7%;100,0%;100,0%;91,4%;0,00%;95,00%;100,00%;95,00%;96,7%;94,0%;1
